feature,attribution,uncertainty
Acceleration_Gaze_Direction_R_X,0.6190798099306066,0.004006383247245401
Ratio_Directional_Magnitude,0.6181894788476893,0.004006383247245401
Acceleration_Gaze_Direction_R_X,0.6181842997156606,0.003993583472523184
Acceleration_Gaze_Direction_R_X,0.6174242979858359,0.0025582141793772497
Cosine_Angles,0.6171880217835788,0.004225733544047231
Delta_Gaze_Z,0.6161920695586833,0.0023459639886547097
Vergence_Depth,0.6152621078379247,0.0018110088625367439
Cosine_Angles,0.6150031140886131,0.0015240980860496414
Ratio_World_Gaze_Direction_Y,0.6138644811724598,0.005352800588583707
World_Gaze_Direction_R_X,0.6137772805664942,0.003925313118769502
Directional_Magnitude_Ratio,0.6134948094839554,0.003925313118769502
Gaze_Direction_Z_Ratio,0.6134527815787402,0.009852814501285313
Vergence_Angle,0.6132089500492495,0.0023459639886547097
Gaze_Direction_Y_Ratio,0.6131820169869266,0.004503727814589389
Vergence_Angle,0.6114575926006582,0.00719797103396885
Cosine_Angles,0.6108276949490654,0.0025582141793772497
World_Gaze_Direction_R_Z,0.6108177786144923,0.00719797103396885
Delta_Gaze_X,0.6037415099189507,0.005241352187508085
Acceleration_Gaze_Direction_R_X,0.6036555513211516,0.004029082116671015
Ratio_Directional_Magnitude,0.6031953691863033,0.0015240980860496414
Ratio_Delta_Gaze_XY,0.6020032775562112,0.003246120263004547
Gaze_Direction_Z_Ratio,0.6006905888182501,0.001759808070311745
Directional_Magnitude_L,0.6004771292456642,0.005170807771966124
Normalized_Vergence_Angle,0.6000775445218619,0.003925313118769502
Delta_Gaze_Z,0.5999695828340256,0.0037555523461824383
Gaze_Direction_Z_Ratio,0.5995899103030204,0.0023459639886547097
World_Gaze_Direction_R_Z,0.5989011919435933,0.005352800588583707
World_Gaze_Direction_R_Z,0.5972028736530962,0.005241352187508085
Ratio_World_Gaze_Direction_Y,0.5964510815837816,0.0025582141793772497
Ratio_Directional_Magnitude,0.5961963525148538,0.004225733544047231
Ratio_World_Gaze_Direction_X,0.5934474262834871,0.001759808070311745
Acceleration_Gaze_Direction_R_X,0.5918560453391801,0.005352800588583707
Gaze_Direction_X_Ratio,0.5912711179845694,0.004503727814589389
Relative_Change_Vergence_Angle,0.5895088794681982,0.0037555523461824383
Acceleration_Gaze_Direction_R_X,0.5881696172933001,0.004385247930892375
Ratio_World_Gaze_Direction_Z,0.5874488290441252,0.0025310292106994815
Ratio_World_Gaze_Direction_Y,0.5853984485771019,0.009852814501285313
Vergence_Angle,0.5850609509769052,0.003925313118769502
Ratio_World_Gaze_Direction_Y,0.5839912309169892,0.0023459639886547097
